"country","a5 IV unweighted(threshold 1e-06)","a5 IV weighted by p31(threshold 1e-06)","a5 IV weighted by distance(threshold 1e-06)","a5 IV weighted by distance and p31(threshold 1e-06)","a5 IV unweighted(threshold 50)","a5 IV weighted by p31(threshold 50)","a5 IV weighted by distance(threshold 50)","a5 IV weighted by distance and p31(threshold 50)","a5 IV unweighted(threshold 100)","a5 IV weighted by p31(threshold 100)","a5 IV weighted by distance(threshold 100)","a5 IV weighted by distance and p31(threshold 100)"
"Pakistan",2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184,2.03001234105882,2.23669471673184
"Panama",2.007445190625,2.14195579322073,2.007445190625,2.14195579322073,2.007445190625,2.14195579322073,2.007445190625,2.14195579322073,2.007445190625,2.14195579322073,2.007445190625,2.14195579322073
"Paraguay",2.01634441418788,2.10288558087365,2.01634441418788,2.10288558087365,2.01634441418788,2.10288558087365,2.01634441418788,2.10288558087365,2.01634441418788,2.10288558087365,2.01634441418788,2.10288558087365
"Peru",1.83753082723939,1.93022399465668,1.83753082723939,1.93022399465668,1.83753082723939,1.93022399465668,1.83753082723939,1.93022399465668,1.83753082723939,1.93022399465668,1.83753082723939,1.93022399465668
"Philippines",,,,,,,,,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124
"Poland",2.04619876103714,1.97635751070573,2.04619845619559,1.97635751070116,1.98798875969762,1.93404742562281,1.99927396856749,1.99118574278344,1.94997675554082,1.91097723381389,1.86021246548427,1.75620370130237
"Portugal",2.2080672504,1.80533771022495,2.2080672504,1.80533771022495,2.2080672504,1.80533771022495,2.2080672504,1.80533771022495,2.2080672504,1.80533771022495,2.2080672504,1.80533771022495
"ROK",,,,,,,,,1.827509928,2.09034736634255,1.827509928,2.09034736634255
"Romania",1.47929870842381,1.50394302513876,1.47929870842381,1.50394302513876,1.47929870842381,1.50394302513876,1.47929870842381,1.50394302513876,1.51211029893905,1.53210476788495,1.47116014000885,1.4720838186639
"Russia",1.78607945993519,1.83292474309637,1.78607975932493,1.83292474310082,1.79022250674167,1.85866700542099,1.8177959328003,1.91312000527387,1.9115659152197,1.97378818674635,1.8637761934683,1.93826405525422
